"X","Y","site"
3.325,43.725,341
3.375,43.725,342
3.425,43.725,343
3.475,43.725,344
3.525,43.725,345
3.575,43.725,346
3.625,43.725,347
3.675,43.725,348
3.725,43.725,349
3.775,43.725,350
3.825,43.725,351
3.875,43.725,352
3.925,43.725,353
3.975,43.725,354
4.025,43.725,355
4.075,43.725,356
4.125,43.725,357
4.175,43.725,358
4.225,43.725,359
4.275,43.725,360
2.425,43.775,361
2.475,43.775,362
2.525,43.775,363
2.575,43.775,364
2.625,43.775,365
2.675,43.775,366
2.725,43.775,367
2.775,43.775,368
2.825,43.775,369
2.875,43.775,370
2.925,43.775,371
2.975,43.775,372
3.025,43.775,373
3.075,43.775,374
3.125,43.775,375
3.175,43.775,376
3.225,43.775,377
3.275,43.775,378
3.325,43.775,379
3.375,43.775,380
3.425,43.775,381
3.475,43.775,382
3.525,43.775,383
3.575,43.775,384
3.625,43.775,385
3.675,43.775,386
3.725,43.775,387
3.775,43.775,388
3.825,43.775,389
3.875,43.775,390
3.925,43.775,391
3.975,43.775,392
4.025,43.775,393
4.075,43.775,394
4.125,43.775,395
4.175,43.775,396
4.225,43.775,397
4.275,43.775,398
2.425,43.825,399
2.475,43.825,400
2.525,43.825,401
2.575,43.825,402
2.625,43.825,403
2.675,43.825,404
2.725,43.825,405
2.775,43.825,406
2.825,43.825,407
2.875,43.825,408
2.925,43.825,409
2.975,43.825,410
3.025,43.825,411
3.075,43.825,412
3.125,43.825,413
3.175,43.825,414
3.225,43.825,415
3.275,43.825,416
3.325,43.825,417
3.375,43.825,418
3.425,43.825,419
3.475,43.825,420
3.525,43.825,421
3.575,43.825,422
3.625,43.825,423
3.675,43.825,424
3.725,43.825,425
3.775,43.825,426
3.825,43.825,427
3.875,43.825,428
3.925,43.825,429
3.975,43.825,430
4.025,43.825,431
4.075,43.825,432
4.125,43.825,433
4.175,43.825,434
4.225,43.825,435
4.275,43.825,436
2.425,43.875,437
2.475,43.875,438
2.525,43.875,439
2.575,43.875,440
2.625,43.875,441
2.675,43.875,442
2.725,43.875,443
2.775,43.875,444
2.825,43.875,445
2.875,43.875,446
2.925,43.875,447
2.975,43.875,448
3.025,43.875,449
3.075,43.875,450
3.125,43.875,451
3.175,43.875,452
3.225,43.875,453
3.275,43.875,454
3.325,43.875,455
3.375,43.875,456
3.425,43.875,457
3.475,43.875,458
3.525,43.875,459
3.575,43.875,460
3.625,43.875,461
3.675,43.875,462
3.725,43.875,463
3.775,43.875,464
3.825,43.875,465
3.875,43.875,466
3.925,43.875,467
3.975,43.875,468
4.025,43.875,469
4.075,43.875,470
4.125,43.875,471
4.175,43.875,472
4.225,43.875,473
4.275,43.875,474
2.425,43.925,475
2.475,43.925,476
2.525,43.925,477
2.575,43.925,478
2.625,43.925,479
2.675,43.925,480
2.725,43.925,481
2.775,43.925,482
2.825,43.925,483
2.875,43.925,484
2.925,43.925,485
2.975,43.925,486
3.025,43.925,487
3.075,43.925,488
3.125,43.925,489
3.175,43.925,490
3.225,43.925,491
3.275,43.925,492
3.325,43.925,493
3.375,43.925,494
3.425,43.925,495
3.475,43.925,496
3.525,43.925,497
3.575,43.925,498
3.625,43.925,499
3.675,43.925,500
3.725,43.925,501
3.775,43.925,502
3.825,43.925,503
3.875,43.925,504
3.925,43.925,505
3.975,43.925,506
4.025,43.925,507
4.075,43.925,508
4.125,43.925,509
4.175,43.925,510
4.225,43.925,511
4.275,43.925,512
2.425,43.975,513
